WORD,COUNT,TIMESTAMP
cerrado,38,2019-07-29 23:11:00
cargill,35,2019-07-29 23:11:00
company,32,2019-07-29 23:11:00
moratorium,30,2019-07-29 23:11:00
said,30,2019-07-29 23:11:00
soy,29,2019-07-29 23:11:00
environmental,28,2019-07-29 23:11:00
farmers,17,2019-07-29 23:11:00
brazilian,17,2019-07-29 23:11:00
amazon,17,2019-07-29 23:11:00
deforestation,17,2019-07-29 23:11:00
companies,16,2019-07-29 23:11:00
local,13,2019-07-29 23:11:00
advocacy,12,2019-07-29 23:11:00
leader,10,2019-07-29 23:11:00
kimmelshue,10,2019-07-29 23:11:00
would,10,2019-07-29 23:11:00
advocates,8,2019-07-29 23:11:00
region,8,2019-07-29 23:11:00
month,8,2019-07-29 23:11:00
groups,8,2019-07-29 23:11:00
say,8,2019-07-29 23:11:00
commitment,8,2019-07-29 23:11:00
cargill’s,8,2019-07-29 23:11:00
brazil’s,8,2019-07-29 23:11:00
could,8,2019-07-29 23:11:00
WORD,COUNT,TIMESTAMP
one,59,2019-07-30 10:08:42
said,39,2019-07-30 10:08:42
capital,32,2019-07-30 10:08:42
data,29,2019-07-30 10:08:42
breach,29,2019-07-30 10:08:42
million,20,2019-07-30 10:08:42
bank,20,2019-07-30 10:08:42
numbers,18,2019-07-30 10:08:42
information,17,2019-07-30 10:08:42
security,16,2019-07-30 10:08:42
thompson,14,2019-07-30 10:08:42
social,14,2019-07-30 10:08:42
ms,14,2019-07-30 10:08:42
credit,14,2019-07-30 10:08:42
seattle,13,2019-07-30 10:08:42
according,12,2019-07-30 10:08:42
amazon,11,2019-07-30 10:08:42
customers,11,2019-07-30 10:08:42
engineer,10,2019-07-30 10:08:42
court,10,2019-07-30 10:08:42
web,10,2019-07-30 10:08:42
applications,10,2019-07-30 10:08:42
software,8,2019-07-30 10:08:42
prosecutors,8,2019-07-30 10:08:42
papers,8,2019-07-30 10:08:42
account,8,2019-07-30 10:08:42
WORD,COUNT,TIMESTAMP
one,59,2019-07-30 10:13:11
said,39,2019-07-30 10:13:11
capital,32,2019-07-30 10:13:11
data,29,2019-07-30 10:13:11
breach,29,2019-07-30 10:13:11
million,20,2019-07-30 10:13:11
bank,20,2019-07-30 10:13:11
numbers,18,2019-07-30 10:13:11
information,17,2019-07-30 10:13:11
security,16,2019-07-30 10:13:11
thompson,14,2019-07-30 10:13:11
social,14,2019-07-30 10:13:11
ms,14,2019-07-30 10:13:11
credit,14,2019-07-30 10:13:11
seattle,13,2019-07-30 10:13:11
according,12,2019-07-30 10:13:11
amazon,11,2019-07-30 10:13:11
customers,11,2019-07-30 10:13:11
engineer,10,2019-07-30 10:13:11
court,10,2019-07-30 10:13:11
web,10,2019-07-30 10:13:11
applications,10,2019-07-30 10:13:11
software,8,2019-07-30 10:13:11
prosecutors,8,2019-07-30 10:13:11
papers,8,2019-07-30 10:13:11
account,8,2019-07-30 10:13:11
